Price,Close,High,Low,Open,Volume
Ticker,9983.T,9983.T,9983.T,9983.T,9983.T
Datetime,,,,,
2026-02-13 04:31:00+00:00,68610.0,68610.0,68580.0,68580.0,2600
2026-02-13 04:32:00+00:00,68560.0,68610.0,68560.0,68610.0,1900
2026-02-13 04:33:00+00:00,68560.0,68560.0,68540.0,68540.0,200
2026-02-13 04:34:00+00:00,68530.0,68540.0,68530.0,68540.0,800
2026-02-13 04:35:00+00:00,68540.0,68540.0,68540.0,68540.0,100
2026-02-13 04:36:00+00:00,68580.0,68580.0,68540.0,68540.0,1100
2026-02-13 04:37:00+00:00,68710.0,68720.0,68590.0,68590.0,9900
2026-02-13 04:38:00+00:00,68670.0,68710.0,68670.0,68710.0,3800
2026-02-13 04:39:00+00:00,68670.0,68670.0,68660.0,68670.0,900
2026-02-13 04:40:00+00:00,68660.0,68680.0,68660.0,68680.0,400
2026-02-13 04:41:00+00:00,68690.0,68720.0,68680.0,68690.0,800
2026-02-13 04:42:00+00:00,68740.0,68750.0,68720.0,68720.0,900
2026-02-13 04:43:00+00:00,68680.0,68740.0,68680.0,68740.0,2200
2026-02-13 04:44:00+00:00,68700.0,68700.0,68680.0,68680.0,700
2026-02-13 04:45:00+00:00,68690.0,68720.0,68690.0,68720.0,700
2026-02-13 04:46:00+00:00,68680.0,68680.0,68670.0,68680.0,700
2026-02-13 04:47:00+00:00,68670.0,68670.0,68670.0,68670.0,100
2026-02-13 04:48:00+00:00,68680.0,68690.0,68670.0,68670.0,900
2026-02-13 04:49:00+00:00,68710.0,68720.0,68680.0,68690.0,800
2026-02-13 04:50:00+00:00,68760.0,68780.0,68730.0,68730.0,1900
2026-02-13 04:51:00+00:00,68730.0,68790.0,68730.0,68770.0,1100
2026-02-13 04:52:00+00:00,68710.0,68730.0,68700.0,68730.0,900
2026-02-13 04:53:00+00:00,68730.0,68740.0,68720.0,68730.0,600
2026-02-13 04:54:00+00:00,68750.0,68750.0,68730.0,68730.0,300
2026-02-13 04:55:00+00:00,68790.0,68790.0,68740.0,68740.0,1000
2026-02-13 04:56:00+00:00,68770.0,68780.0,68730.0,68780.0,1600
2026-02-13 04:57:00+00:00,68750.0,68750.0,68750.0,68750.0,200
2026-02-13 04:58:00+00:00,68800.0,68800.0,68760.0,68760.0,2700
2026-02-13 04:59:00+00:00,68810.0,68810.0,68780.0,68790.0,700
2026-02-13 05:00:00+00:00,68820.0,68840.0,68810.0,68820.0,1400
